,area,population,rates,dpy,dps,dp10ms,dp50ms
68,Senegal,15850567.0,8.1,128389.5927,0.004071207277397261,0.00004071207277397261,0.00020356036386986304
69,Chad,14899994.0,13.8,205619.91720000003,0.006520164802130898,0.00006520164802130898,0.0003260082401065449
70,Somalia,14742523.0,13.1,193127.0513,0.006124018623160833,0.00006124018623160833,0.00030620093115804164
71,Guinea,12717176.0,9.0,114454.584,0.003629331050228311,0.00003629331050228311,0.00018146655251141555
72,South Sudan,12575714.0,7.7,96832.9978,0.003070554217402334,0.00003070554217402334,0.00015352771087011671
73,Rwanda,12208407.0,6.4,78133.8048,0.002477606697108067,0.000024776066971080667,0.00012388033485540335
74,Tunisia,11532127.0,6.3,72652.4001,0.0023037924942922376,0.000023037924942922377,0.00011518962471461188
75,Cuba,11484636.0,8.7,99916.3332,0.0031683261415525114,0.00003168326141552511,0.00015841630707762557
76,Belgium,11429336.0,9.7,110864.55919999999,0.0035154921106037547,0.00003515492110603755,0.00017577460553018775
77,Benin,11175692.0,7.9,88287.9668,0.0027995930618975136,0.000027995930618975136,0.0001399796530948757
78,Greece,11159773.0,11.3,126105.43490000001,0.003998777108701167,0.000039987771087011674,0.00019993885543505836
79,Bolivia,11051600.0,6.4,70730.24,0.0022428411973617456,0.000022428411973617458,0.00011214205986808728
80,Haiti,10981229.0,7.6,83457.34039999999,0.0026464149036022322,0.000026464149036022323,0.0001323207451801116
81,Burundi,10864245.0,8.8,95605.35600000001,0.0030316259512937604,0.000030316259512937604,0.00015158129756468803
82,Dominican Republic,10766998.0,4.7,50604.8906,0.001604670554287164,0.00001604670554287164,0.0000802335277143582
83,Portugal,10329506.0,11.1,114657.51659999999,0.0036357660007610344,0.000036357660007610343,0.00018178830003805172
84,Sweden,9910701.0,9.4,93160.58940000001,0.0029541029109589048,0.000029541029109589048,0.00014770514554794523
85,Azerbaijan,9827589.0,7.1,69775.8819,0.0022125787005327245,0.000022125787005327246,0.00011062893502663622
86,Hungary,9721559.0,12.8,124435.9552,0.003945838254693049,0.00003945838254693049,0.00019729191273465244
87,Jordan,9702353.0,3.4,32988.0002,0.0010460426243023848,0.000010460426243023848,0.00005230213121511924
88,Belarus,9468338.0,13.2,124982.0616,0.003963155175038052,0.00003963155175038052,0.0001981577587519026
89,United Arab Emirates,9400145.0,1.9,17860.2755,0.000566345620877727,0.000005663456208777271,0.00002831728104388635
90,Honduras,9265067.0,5.3,49104.8551,0.0015571047406139015,0.000015571047406139016,0.00007785523703069507
91,Tajikistan,8921343.0,6.0,53528.058,0.001697363584474886,0.00001697363584474886,0.0000848681792237443
92,Serbia,8790574.0,13.6,119551.80639999999,0.0037909629122272947,0.000037909629122272946,0.00018954814561136473
93,Austria,8735453.0,9.6,83860.34879999999,0.0026591942161339416,0.000026591942161339417,0.00013295971080669707
94,Switzerland,8476005.0,8.3,70350.8415,0.002230810549847793,0.00002230810549847793,0.00011154052749238965
95,Israel,8321570.0,5.2,43272.164,0.0013721513191273466,0.000013721513191273466,0.00006860756595636733
96,Papua New Guinea,8251162.0,6.6,54457.6692,0.0017268413622526632,0.000017268413622526632,0.00008634206811263316
97,Togo,7797694.0,6.9,53804.0886,0.00170611645738204,0.0000170611645738204,0.000085305822869102
98,Sierra Leone,7557212.0,10.4,78595.0048,0.0024922312531709795,0.000024922312531709794,0.000124611562658549
99,Hong Kong,7364883.0,7.4,54500.1342,0.001728187918569254,0.00001728187918569254,0.0000864093959284627
100,Bulgaria,7084571.0,14.5,102726.2795,0.003257428954211061,0.00003257428954211061,0.00016287144771055304
101,Laos,6858160.0,7.4,50750.384,0.0016092841197361746,0.000016092841197361748,0.00008046420598680873
102,Paraguay,6811297.0,4.8,32694.225599999998,0.001036727092846271,0.00001036727092846271,0.000051836354642313546
103,El Salvador,6377853.0,5.8,36991.547399999996,0.0011729942732115674,0.000011729942732115675,0.000058649713660578374
104,Libya,6374616.0,3.6,22948.6176,0.0007276958904109589,0.000007276958904109589,0.00003638479452054795
105,Nicaragua,6217581.0,5.1,31709.663099999998,0.0010055068207762555,0.000010055068207762556,0.00005027534103881278
106,Lebanon,6082357.0,5.0,30411.785,0.000964351376204972,0.00000964351376204972,0.0000482175688102486
107,Kyrgyzstan,6045117.0,6.5,39293.2605,0.0012459811168188735,0.000012459811168188735,0.00006229905584094368
108,Turkmenistan,5758075.0,6.1,35124.2575,0.0011137828989091832,0.000011137828989091831,0.00005568914494545916
109,Denmark,5733551.0,10.3,59055.575300000004,0.0018726400082445462,0.00001872640008244546,0.00009363200041222731
110,Singapore,5708844.0,3.5,19980.954,0.0006335918949771691,0.000006335918949771691,0.00003167959474885845
111,Finland,5523231.0,10.0,55232.31,0.0017514050608828005,0.000017514050608828006,0.00008757025304414002
112,Slovakia,5447662.0,9.9,53931.853800000004,0.0017101678652968037,0.000017101678652968035,0.00008550839326484019
113,Norway,5305383.0,8.1,42973.6023,0.0013626839897260274,0.000013626839897260274,0.00006813419948630137
114,Eritrea,5068831.0,7.2,36495.5832,0.0011572673515981733,0.000011572673515981734,0.00005786336757990867
115,Costa Rica,4905769.0,4.7,23057.1143,0.0007311362981988838,0.000007311362981988838,0.00003655681490994419
116,Ireland,4761657.0,6.6,31426.9362,0.0009965416095890412,0.000009965416095890413,0.000049827080479452064
117,Liberia,4731906.0,7.6,35962.4856,0.0011403629375951294,0.000011403629375951294,0.00005701814687975647
118,New Zealand,4705818.0,7.5,35293.635,0.0011191538242009134,0.000011191538242009134,0.00005595769121004567
119,Central African Republic,4659080.0,13.2,61499.856,0.0019501476407914767,0.000019501476407914768,0.00009750738203957383
120,Oman,4636262.0,3.3,15299.6646,0.00048514918188736686,0.0000048514918188736686,0.000024257459094368344
121,Mauritania,4420184.0,7.9,34919.4536,0.0011072886098427194,0.000011072886098427194,0.00005536443049213597
122,Croatia,4189353.0,12.2,51110.10659999999,0.0016206908485540332,0.000016206908485540333,0.00008103454242770166
123,Kuwait,4136528.0,2.2,9100.361600000002,0.00028857057331303906,0.0000028857057331303907,0.000014428528665651954
124,Panama,4098587.0,4.9,20083.0763,0.0006368301718670726,0.000006368301718670726,0.000031841508593353625
125,Moldova,4051212.0,12.6,51045.271199999996,0.0016186349315068492,0.000016186349315068493,0.00008093174657534246
126,Georgia,3912061.0,10.9,42641.4649,0.0013521519818619993,0.000013521519818619992,0.00006760759909309996
127,Puerto Rico,3663131.0,8.6,31502.9266,0.0009989512493658041,0.000009989512493658041,0.00004994756246829021
128,Bosnia and Herzegovina,3507017.0,10.0,35070.17,0.0011120677955352612,0.000011120677955352612,0.00005560338977676306
129,Uruguay,3456750.0,9.4,32493.45,0.0010303605403348553,0.000010303605403348552,0.00005151802701674277
130,Mongolia,3075647.0,6.3,19376.5761,0.0006144271974885845,0.000006144271974885845,0.000030721359874429227
131,Armenia,2930450.0,9.4,27546.23,0.0008734852232369357,0.000008734852232369358,0.00004367426116184678
132,Albania,2930187.0,6.8,19925.271599999996,0.0006318262176560121,0.000006318262176560121,0.000031591310882800605
133,Jamaica,2890299.0,6.8,19654.033199999998,0.0006232253044140029,0.00000623225304414003,0.00003116126522070015
134,Lithuania,2890297.0,14.6,42198.3362,0.0013381004629629627,0.000013381004629629628,0.00006690502314814814
135,Qatar,2639211.0,1.5,3958.8165,0.00012553324771689498,0.0000012553324771689497,0.000006276662385844749
136,Namibia,2533794.0,7.9,20016.9726,0.0006347340372907153,0.000006347340372907153,0.000031736701864535765
137,Botswana,2291661.0,9.6,21999.9456,0.0006976136986301371,0.00000697613698630137,0.000034880684931506854
138,Lesotho,2233339.0,15.0,33500.085,0.0010622807267884323,0.000010622807267884322,0.00005311403633942161
139,Slovenia,2079976.0,11.6,24127.721599999997,0.0007650850329781835,0.000007650850329781836,0.00003825425164890918
140,Gabon,2025137.0,13.0,26326.781,0.0008348167491121257,0.000008348167491121257,0.00004174083745560628
141,Latvia,1949670.0,14.5,28270.215,0.0008964426369863014,0.000008964426369863014,0.00004482213184931507
142,Guinea-Bissau,1861283.0,13.9,25871.8337,0.0008203904648655503,0.000008203904648655502,0.00004101952324327752
143,Bahrain,1492584.0,2.8,4179.2352,0.0001325226788432268,0.0000013252267884322678,0.00000662613394216134
144,Trinidad and Tobago,1369125.0,8.8,12048.300000000001,0.00038204908675799096,0.000003820490867579909,0.00001910245433789955
145,Estonia,1309632.0,12.6,16501.3632,0.0005232547945205479,0.000005232547945205479,0.000026162739726027395
146,East Timor,1296311.0,5.9,7648.2349,0.00024252393772196854,0.0000024252393772196853,0.000012126196886098427
147,Equatorial Guinea,1267689.0,7.8,9887.974199999999,0.0003135456050228311,0.000003135456050228311,0.000015677280251141554
148,Mauritius,1265138.0,7.1,8982.4798,0.00028483256595636733,0.0000028483256595636732,0.000014241628297818366
149,Cyprus,1179551.0,6.8,8020.9468,0.00025434255454084224,0.0000025434255454084222,0.000012717127727042112
150,Djibouti,956985.0,7.5,7177.3875,0.00022759346461187217,0.0000022759346461187216,0.000011379673230593608
151,Fiji,905502.0,6.1,5523.562199999999,0.00017515100837138504,0.0000017515100837138503,0.000008757550418569251
152,Comoros,813912.0,7.2,5860.1664,0.00018582465753424658,0.0000018582465753424657,0.000009291232876712329
153,Bhutan,807610.0,6.5,5249.465,0.00016645944317605275,0.0000016645944317605275,0.000008322972158802638
154,Guyana,777859.0,7.4,5756.1566,0.0001825265284119736,0.000001825265284119736,0.00000912632642059868
155,Montenegro,628960.0,9.7,6100.912,0.0001934586504312532,0.000001934586504312532,0.000009672932521562661
156,Macau,622567.0,4.5,2801.5515,8.883661529680365e-05,0.0000008883661529680364,0.000004441830764840183
157,Solomon Islands,611343.0,3.8,2323.1034,7.366512557077626e-05,0.0000007366512557077626,0.0000036832562785388133
158,Luxembourg,583455.0,7.3,4259.2215,0.00013505902777777775,0.0000013505902777777774,0.000006752951388888888
159,Suriname,563402.0,6.1,3436.7522,0.00010897869736174532,0.0000010897869736174531,0.000005448934868087266
160,Western Sahara,552628.0,8.1,4476.2868,0.00014194212328767124,0.0000014194212328767124,0.000007097106164383562
161,Maldives,436330.0,4.0,1745.32,5.5343734145104004e-05,0.0000005534373414510401,0.0000027671867072552
162,Malta,430835.0,9.4,4049.849,0.00012841986935565705,0.0000012841986935565705,0.0000064209934677828526
163,Brunei,428697.0,3.6,1543.3092,4.893801369863014e-05,0.0000004893801369863014,0.000002446900684931507
164,Bahamas,395361.0,7.2,2846.5992,9.02650684931507e-05,0.000000902650684931507,0.000004513253424657535
165,Belize,374681.0,6.0,2248.086,7.12863394216134e-05,0.000000712863394216134,0.00000356431697108067
166,Iceland,335025.0,6.4,2144.16,6.799086757990868e-05,0.0000006799086757990867,0.000003399543378995434
167,Barbados,285719.0,8.6,2457.1834,7.791677447995942e-05,0.0000007791677447995942,0.000003895838723997971
168,French Polynesia,283007.0,5.2,1471.6364,4.666528411973618e-05,0.00000046665284119736185,0.0000023332642059868093
169,New Caledonia,276255.0,5.7,1574.6535,4.993193493150684e-05,0.0000004993193493150684,0.000002496596746575342
170,Vanuatu,276244.0,4.0,1104.976,3.503855910705226e-05,0.0000003503855910705226,0.000001751927955352613
171,Sao Tome and Principe,204327.0,6.8,1389.4235999999999,4.405833333333333e-05,0.0000004405833333333333,0.0000022029166666666664
172,Samoa,196440.0,5.3,1041.132,3.301407914764079e-05,0.00000033014079147640794,0.0000016507039573820396
173,Saint Lucia,178844.0,7.7,1377.0988,4.3667516489091825e-05,0.00000043667516489091825,0.0000021833758244545913
174,Guam,164229.0,6.0,985.374,3.124600456621004e-05,0.0000003124600456621004,0.000001562300228310502
175,Kiribati,116398.0,7.0,814.786,2.5836694571283614e-05,0.00000025836694571283613,0.0000012918347285641807
176,Saint Vincent and the Grenadines,109897.0,7.3,802.2481,2.543912037037037e-05,0.0000002543912037037037,0.0000012719560185185186
177,Tonga,108020.0,4.9,529.298,1.678392947742263e-05,0.0000001678392947742263,0.0000008391964738711314
178,Grenada,107825.0,8.2,884.1649999999998,2.8036688229325208e-05,0.0000002803668822932521,0.0000014018344114662604
179,Federated States of Micronesia,105544.0,4.2,443.2848,1.4056468797564687e-05,0.00000014056468797564687,0.0000007028234398782343
180,Aruba,105264.0,8.4,884.2176000000001,2.8038356164383564e-05,0.00000028038356164383565,0.0000014019178082191781
181,Antigua and Barbuda,102012.0,5.7,581.4684,1.843824200913242e-05,0.00000018438242009132419,0.0000009219121004566209
182,Seychelles,94737.0,7.0,663.159,2.1028633942161338e-05,0.00000021028633942161337,0.000001051431697108067
183,Isle of Man,84287.0,10.2,859.7273999999999,2.7261777016742766e-05,0.0000002726177701674277,0.0000013630888508371382
184,Andorra,76965.0,7.3,561.8445,1.7815972222222225e-05,0.00000017815972222222224,0.0000008907986111111112
185,Dominica,73925.0,7.9,584.0075,1.8518756341958398e-05,0.00000018518756341958397,0.0000009259378170979199
186,Cayman Islands,61559.0,5.8,357.04220000000004,1.1321733891425674e-05,0.00000011321733891425673,0.0000005660866945712837
187,Bermuda,61349.0,8.6,527.6014,1.6730130644342974e-05,0.00000016730130644342974,0.0000008365065322171487
188,Greenland,56480.0,8.7,491.3759999999999,1.5581430745814304e-05,0.00000015581430745814304,0.0000007790715372907152
189,American Samoa,55641.0,5.9,328.2819,1.0409750761035008e-05,0.00000010409750761035009,0.0000005204875380517504
190,Saint Kitts and Nevis,55345.0,7.1,392.9495,1.2460346905124302e-05,0.00000012460346905124303,0.0000006230173452562151
191,Northern Mariana Islands,55144.0,4.8,264.69120000000004,8.39330289193303e-06,0.0000000839330289193303,0.00000041966514459665156
192,Marshall Islands,53127.0,4.2,223.13340000000002,7.075513698630137e-06,0.00000007075513698630137,0.00000035377568493150685
193,Faroe Islands,49290.0,8.8,433.75200000000007,1.3754185692541858e-05,0.00000013754185692541858,0.0000006877092846270929
194,Sint Maarten,40120.0,5.2,208.624,6.615423642820902e-06,0.00000006615423642820902,0.0000003307711821410451
195,Monaco,38695.0,9.8,379.211,1.202470192795535e-05,0.0000001202470192795535,0.0000006012350963977675
196,Liechtenstein,37922.0,7.4,280.6228,8.898490613901573e-06,0.00000008898490613901572,0.00000044492453069507864
197,Turks and Caicos Islands,35446.0,3.2,113.42720000000001,3.596752917300863e-06,0.00000003596752917300863,0.00000017983764586504315
198,Gibraltar,34571.0,8.5,293.8535,9.318033358701165e-06,0.00000009318033358701165,0.0000004659016679350583
199,San Marino,33400.0,8.7,290.58,9.214231354642314e-06,0.00000009214231354642314,0.0000004607115677321157
200,British Virgin Islands,31196.0,5.1,159.09959999999998,5.045015220700152e-06,0.00000005045015220700152,0.0000002522507610350076
201,Palau,21729.0,8.1,176.0049,5.581078767123288e-06,0.00000005581078767123288,0.0000002790539383561644
202,Cook Islands,17380.0,8.4,145.992,4.629375951293759e-06,0.00000004629375951293759,0.00000023146879756468796
203,Anguilla,14909.0,4.6,68.58139999999999,2.174701927955352e-06,0.00000002174701927955352,0.0000001087350963977676
204,Wallis and Futuna,11773.0,5.4,63.574200000000005,2.0159246575342466e-06,0.000000020159246575342465,0.00000010079623287671233
205,Nauru,11359.0,5.9,67.0181,2.1251300101471334e-06,0.000000021251300101471334,0.00000010625650050735668
206,Tuvalu,11192.0,8.5,95.132,3.016615930999493e-06,0.00000003016615930999493,0.00000015083079654997464
207,Saint Pierre and Miquelon,6320.0,9.9,62.568,1.9840182648401827e-06,0.000000019840182648401828,0.00000009920091324200914
208,Montserrat,5177.0,6.2,32.0974,1.0178018772196856e-06,0.000000010178018772196856,0.000000050890093860984276
209,Saint Helena Ascension and Tristan da Cunha,4049.0,7.8,31.5822,1.0014649923896501e-06,0.000000010014649923896502,0.00000005007324961948251
210,Falkland Islands,2910.0,4.9,14.259000000000002,4.5214992389649927e-07,0.000000004521499238964993,0.000000022607496194824964
